customer_id,trans_date,tran_amount
CS1849,16/5/2018,79
CS5436,16/5/2018,96
CS1445,16/5/2018,94
CS5815,16/5/2018,101
CS4254,16/5/2018,77
CS2349,16/5/2018,101
CS1791,16/5/2018,74
CS2060,16/5/2018,44
CS5101,16/5/2018,96
CS3690,16/5/2018,63
CS4655,16/5/2018,96
CS2206,16/5/2018,59
CS5088,16/5/2018,86
CS6034,16/5/2018,87
CS4382,16/5/2018,84
CS3817,16/5/2018,40
CS2095,16/5/2018,84
CS2897,16/5/2018,64
CS2363,16/5/2018,42
CS5804,16/5/2018,89
CS4670,16/5/2018,57
CS1747,16/5/2018,49
CS3586,16/5/2018,84
CS4984,16/5/2018,56
CS1177,16/5/2018,79
CS2288,16/5/2018,35
CS1250,16/5/2018,47
CS5613,16/5/2018,101
CS3470,16/5/2018,67
CS4610,16/5/2018,75
CS4263,16/5/2018,94
CS3148,16/5/2018,82
CS3675,16/5/2018,76
CS5734,16/5/2018,90
CS1795,16/5/2018,42
CS3664,16/5/2018,55
CS2303,16/5/2018,74
CS4405,16/5/2018,60
CS5293,16/5/2018,42
CS2932,16/5/2018,67
CS3366,16/5/2018,77
CS5012,16/5/2018,44
CS4432,16/5/2018,41
CS3448,16/5/2018,77
CS4967,16/5/2018,35
CS3983,16/5/2018,87
CS3128,16/5/2018,79
CS5034,16/5/2018,101
CS5600,16/5/2018,95
CS1222,16/5/2018,90
CS5529,16/5/2018,103
CS2014,16/5/2018,88
CS3631,16/5/2018,58
CS1707,16/5/2018,66
CS2594,16/5/2018,99
CS3692,16/5/2018,63
CS4165,16/5/2018,97
CS3985,16/5/2018,68
CS5573,16/5/2018,93
CS1501,16/5/2018,90
CS3681,16/5/2018,79
CS4053,16/5/2018,58
CS2522,16/5/2018,80
CS1778,16/5/2018,38
CS2213,16/5/2018,53
CS2725,16/5/2018,40
CS4096,16/5/2018,68
CS2638,16/5/2018,67
CS4410,16/5/2018,105
CS7445,16/5/2018,59
CS8349,16/5/2018,79
CS8060,16/5/2018,40
CS8897,16/5/2018,39
CS8363,16/5/2018,19
CS7747,16/5/2018,66
CS7177,16/5/2018,19
CS8288,16/5/2018,68
